<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.22	13:00:00	26035.00	26041.00	26014.00	26032.00	228	0	2000
2023.08.22	14:00:00	26032.00	26051.00	26013.00	26039.00	237	0	2000
2023.08.22	15:00:00	26037.00	26080.00	26025.00	26025.00	285	0	2000
2023.08.22	16:00:00	26025.00	26041.00	25954.00	25982.00	843	0	2000
2023.08.22	17:00:00	25982.00	26037.00	25933.00	25976.00	1120	0	2000
2023.08.22	18:00:00	25976.00	26003.00	25897.00	25919.00	946	0	2000
2023.08.22	19:00:00	25919.00	26038.00	25784.00	26002.00	2435	0	2000
2023.08.22	20:00:00	26002.00	26017.00	25709.00	25815.00	2457	0	2000
2023.08.22	21:00:00	25815.00	25987.00	25754.00	25886.00	1551	0	2000
2023.08.22	22:00:00	25886.00	25944.00	25757.00	25762.00	797	0	2000
2023.08.22	23:00:00	25762.00	25853.00	25762.00	25849.00	624	0	2000
2023.08.23	00:00:00	25861.00	25886.00	25326.00	25650.00	1979	0	2000
2023.08.23	01:00:00	25650.00	25835.00	25608.00	25786.00	1273	0	2700
2023.08.23	02:00:00	25786.00	26043.00	25761.00	26030.00	1570	0	2500
2023.08.23	03:00:00	26030.00	26165.00	26008.00	26021.00	1227	0	2000
2023.08.23	04:00:00	26021.00	26061.00	25972.00	26031.00	593	0	2000
2023.08.23	05:00:00	26031.00	26071.00	26014.00	26026.00	415	0	2000
2023.08.23	06:00:00	26026.00	26056.00	25969.00	25983.00	341	0	2000
2023.08.23	07:00:00	25983.00	26038.00	25955.00	26028.00	337	0	2000
2023.08.23	08:00:00	26028.00	26033.00	25971.00	26023.00	324	0	2000
2023.08.23	09:00:00	26023.00	26166.00	26020.00	26042.00	985	0	2000
2023.08.23	10:00:00	26042.00	26112.00	25996.00	26038.00	724	0	2000
2023.08.23	11:00:00	26038.00	26075.00	26004.00	26015.00	353	0	2000
2023.08.23	12:00:00	26015.00	26031.00	25994.00	26017.00	318	0	2000
